timestamp=0.002244,B0=1
timestamp=0.002396,320=1
timestamp=0.002604,B2=1
timestamp=0.008206,20=1
timestamp=0.008452,223=1
timestamp=0.008700,B4=1
timestamp=0.008938,2D0=1
timestamp=0.009177,25=1
timestamp=0.009795,22=1
timestamp=0.010019,23=1
timestamp=0.014287,B0=1
timestamp=0.014539,224=1
timestamp=0.014747,B2=1
timestamp=0.016709,2C1=1
timestamp=0.018753,2C4=1
timestamp=0.020269,20=1
timestamp=0.020537,B4=1
timestamp=0.020958,25=1
timestamp=0.021864,22=1
timestamp=0.022084,23=1
timestamp=0.023890,2C6=1
timestamp=0.026376,B0=1
timestamp=0.026602,B2=1
timestamp=0.029928,520=1
timestamp=0.032066,340=1
timestamp=0.032328,20=1
timestamp=0.032574,223=1
timestamp=0.032822,B4=1
timestamp=0.033061,25=1
timestamp=0.033930,22=1
timestamp=0.034153,23=1
timestamp=0.037094,5D4=1
timestamp=0.038410,B0=1
timestamp=0.038663,224=1
timestamp=0.038871,B2=1
timestamp=0.040265,2D0=1
timestamp=0.042319,2C4=1
timestamp=0.044393,20=1
timestamp=0.044661,B4=1
timestamp=0.044963,25=1
timestamp=0.045985,22=1
timestamp=0.046207,23=1
timestamp=0.048461,2C1=1
timestamp=0.050485,B0=1
timestamp=0.050638,320=1
timestamp=0.050846,B2=1
timestamp=0.055619,2C6=1
timestamp=0.056465,20=1
timestamp=0.056712,223=1
timestamp=0.056960,B4=1
timestamp=0.057198,25=1
timestamp=0.058068,22=1
timestamp=0.058288,23=1
timestamp=0.062540,B0=1
timestamp=0.062792,224=1
timestamp=0.063001,B2=1
timestamp=0.065852,2C4=1
timestamp=0.068520,20=1
timestamp=0.068789,B4=1
timestamp=0.069027,25=1
timestamp=0.070123,22=1
timestamp=0.070345,23=1
timestamp=0.071999,2D0=1
timestamp=0.074633,B0=1
timestamp=0.074859,B2=1
timestamp=0.079591,583=1
timestamp=0.080189,2C1=1
timestamp=0.080413,340=1
timestamp=0.080655,20=1
timestamp=0.080902,223=1
timestamp=0.081150,B4=1
timestamp=0.081388,25=1
timestamp=0.082244,22=1
timestamp=0.082468,23=1
timestamp=0.086728,B0=1
timestamp=0.086980,224=1
timestamp=0.087188,B2=1
timestamp=0.087433,2C6=1
timestamp=0.089411,2C4=1
timestamp=0.092705,20=1
timestamp=0.092973,B4=1
timestamp=0.093211,25=1
